ITEMS TO SELL:
  52  ride 5 T=morning
  48  ride 5 T=afternoon
  38  ride 5 T=evening
  52  ride 11 T=morning
  48  ride 11 T=afternoon
  38  ride 11 T=evening
  52  ride 4 T=morning
  49  ride 4 T=afternoon
  39  ride 4 T=evening
  52  ride 10 T=morning
  49  ride 10 T=afternoon
  39  ride 10 T=evening
  53  ride 3 T=morning
  49  ride 3 T=afternoon
  39  ride 3 T=evening
  53  ride 9 T=morning
  49  ride 9 T=afternoon
  39  ride 9 T=evening
  53  ride 2 T=morning
  50  ride 2 T=afternoon
  40  ride 2 T=evening
  53  ride 8 T=morning
  50  ride 8 T=afternoon
  40  ride 8 T=evening
  54  ride 1 T=morning
  50  ride 1 T=afternoon
  40  ride 1 T=evening
------------
Name: Agent 973
Bids:
  24  ride 7 T=morning
  20  ride 7 T=afternoon
  10  ride 7 T=evening
  24  ride 13 T=morning
  20  ride 13 T=afternoon
  10  ride 13 T=evening
  25  ride 6 T=morning
  21  ride 6 T=afternoon
  11  ride 6 T=evening
  25  ride 12 T=morning
  21  ride 12 T=afternoon
  11  ride 12 T=evening
  25  ride 5 T=morning
  21  ride 5 T=afternoon
  12  ride 5 T=evening
  25  ride 11 T=morning
  21  ride 11 T=afternoon
  12  ride 11 T=evening
  26  ride 4 T=morning
  22  ride 4 T=afternoon
  12  ride 4 T=evening
  26  ride 10 T=morning
  22  ride 10 T=afternoon
  12  ride 10 T=evening
  26  ride 3 T=morning
  22  ride 3 T=afternoon
  13  ride 3 T=evening
  26  ride 9 T=morning
  22  ride 9 T=afternoon
  13  ride 9 T=evening
  27  ride 2 T=morning
  23  ride 2 T=afternoon
  13  ride 2 T=evening
  27  ride 8 T=morning
  23  ride 8 T=afternoon
  13  ride 8 T=evening
  27  ride 1 T=morning
  24  ride 1 T=afternoon
  14  ride 1 T=evening
------------
Name: Agent 579
Bids:
  10  ride 7 T=morning
  7  ride 7 T=afternoon
  1  ride 7 T=evening
  10  ride 13 T=morning
  7  ride 13 T=afternoon
  1  ride 13 T=evening
  11  ride 6 T=morning
  7  ride 6 T=afternoon
  1  ride 6 T=evening
  11  ride 12 T=morning
  7  ride 12 T=afternoon
  1  ride 12 T=evening
  12  ride 5 T=morning
  8  ride 5 T=afternoon
  1  ride 5 T=evening
  12  ride 11 T=morning
  8  ride 11 T=afternoon
  1  ride 11 T=evening
  12  ride 4 T=morning
  8  ride 4 T=afternoon
  1  ride 4 T=evening
  12  ride 10 T=morning
  8  ride 10 T=afternoon
  1  ride 10 T=evening
  13  ride 3 T=morning
  9  ride 3 T=afternoon
  1  ride 3 T=evening
  13  ride 9 T=morning
  9  ride 9 T=afternoon
  1  ride 9 T=evening
  13  ride 2 T=morning
  9  ride 2 T=afternoon
  1  ride 2 T=evening
  13  ride 8 T=morning
  9  ride 8 T=afternoon
  1  ride 8 T=evening
  14  ride 1 T=morning
  10  ride 1 T=afternoon
  1  ride 1 T=evening
------------
Name: Agent 828
Bids:
  14  ride 7 T=morning
  10  ride 7 T=afternoon
  1  ride 7 T=evening
  14  ride 13 T=morning
  10  ride 13 T=afternoon
  1  ride 13 T=evening
  15  ride 6 T=morning
  11  ride 6 T=afternoon
  1  ride 6 T=evening
  15  ride 12 T=morning
  11  ride 12 T=afternoon
  1  ride 12 T=evening
  15  ride 5 T=morning
  11  ride 5 T=afternoon
  2  ride 5 T=evening
  15  ride 11 T=morning
  11  ride 11 T=afternoon
  2  ride 11 T=evening
  16  ride 4 T=morning
  12  ride 4 T=afternoon
  2  ride 4 T=evening
  16  ride 10 T=morning
  12  ride 10 T=afternoon
  2  ride 10 T=evening
  16  ride 3 T=morning
  12  ride 3 T=afternoon
  3  ride 3 T=evening
  16  ride 9 T=morning
  12  ride 9 T=afternoon
  3  ride 9 T=evening
  17  ride 2 T=morning
  13  ride 2 T=afternoon
  3  ride 2 T=evening
  17  ride 8 T=morning
  13  ride 8 T=afternoon
  3  ride 8 T=evening
  17  ride 1 T=morning
  14  ride 1 T=afternoon
  4  ride 1 T=evening
------------
Name: Agent 35
Bids:
  42  ride 7 T=morning
  39  ride 7 T=afternoon
  29  ride 7 T=evening
  42  ride 13 T=morning
  39  ride 13 T=afternoon
  29  ride 13 T=evening
  43  ride 6 T=morning
  39  ride 6 T=afternoon
  29  ride 6 T=evening
  43  ride 12 T=morning
  39  ride 12 T=afternoon
  29  ride 12 T=evening
  43  ride 5 T=morning
  40  ride 5 T=afternoon
  30  ride 5 T=evening
  43  ride 11 T=morning
  40  ride 11 T=afternoon
  30  ride 11 T=evening
  44  ride 4 T=morning
  40  ride 4 T=afternoon
  30  ride 4 T=evening
  44  ride 10 T=morning
  40  ride 10 T=afternoon
  30  ride 10 T=evening
  44  ride 3 T=morning
  41  ride 3 T=afternoon
  31  ride 3 T=evening
  44  ride 9 T=morning
  41  ride 9 T=afternoon
  31  ride 9 T=evening
  45  ride 2 T=morning
  41  ride 2 T=afternoon
  32  ride 2 T=evening
  45  ride 8 T=morning
  41  ride 8 T=afternoon
  32  ride 8 T=evening
  46  ride 1 T=morning
  42  ride 1 T=afternoon
  32  ride 1 T=evening
------------
Name: Agent 984
Bids:
  23  ride 7 T=morning
  19  ride 7 T=afternoon
  10  ride 7 T=evening
  23  ride 13 T=morning
  19  ride 13 T=afternoon
  10  ride 13 T=evening
  24  ride 6 T=morning
  20  ride 6 T=afternoon
  10  ride 6 T=evening
  24  ride 12 T=morning
  20  ride 12 T=afternoon
  10  ride 12 T=evening
  24  ride 5 T=morning
  20  ride 5 T=afternoon
  11  ride 5 T=evening
  24  ride 11 T=morning
  20  ride 11 T=afternoon
  11  ride 11 T=evening
  25  ride 4 T=morning
  21  ride 4 T=afternoon
  11  ride 4 T=evening
  25  ride 10 T=morning
  21  ride 10 T=afternoon
  11  ride 10 T=evening
  25  ride 3 T=morning
  22  ride 3 T=afternoon
  12  ride 3 T=evening
  25  ride 9 T=morning
  22  ride 9 T=afternoon
  12  ride 9 T=evening
  26  ride 2 T=morning
  22  ride 2 T=afternoon
  12  ride 2 T=evening
  26  ride 8 T=morning
  22  ride 8 T=afternoon
  12  ride 8 T=evening
  26  ride 1 T=morning
  23  ride 1 T=afternoon
  13  ride 1 T=evening
------------
Name: Agent 462
Bids:
  53  ride 7 T=morning
  50  ride 7 T=afternoon
  40  ride 7 T=evening
  53  ride 13 T=morning
  50  ride 13 T=afternoon
  40  ride 13 T=evening
  54  ride 6 T=morning
  50  ride 6 T=afternoon
  41  ride 6 T=evening
  54  ride 12 T=morning
  50  ride 12 T=afternoon
  41  ride 12 T=evening
  55  ride 5 T=morning
  51  ride 5 T=afternoon
  41  ride 5 T=evening
  55  ride 11 T=morning
  51  ride 11 T=afternoon
  41  ride 11 T=evening
  55  ride 4 T=morning
  51  ride 4 T=afternoon
  42  ride 4 T=evening
  55  ride 10 T=morning
  51  ride 10 T=afternoon
  42  ride 10 T=evening
  56  ride 3 T=morning
  52  ride 3 T=afternoon
  42  ride 3 T=evening
  56  ride 9 T=morning
  52  ride 9 T=afternoon
  42  ride 9 T=evening
  56  ride 2 T=morning
  52  ride 2 T=afternoon
  43  ride 2 T=evening
  56  ride 8 T=morning
  52  ride 8 T=afternoon
  43  ride 8 T=evening
  57  ride 1 T=morning
  53  ride 1 T=afternoon
  43  ride 1 T=evening
------------
Name: Agent 196
Bids:
  39  ride 7 T=morning
  36  ride 7 T=afternoon
  26  ride 7 T=evening
  39  ride 13 T=morning
  36  ride 13 T=afternoon
  26  ride 13 T=evening
  40  ride 6 T=morning
  36  ride 6 T=afternoon
  26  ride 6 T=evening
  40  ride 12 T=morning
  36  ride 12 T=afternoon
  26  ride 12 T=evening
  41  ride 5 T=morning
  37  ride 5 T=afternoon
  27  ride 5 T=evening
  41  ride 11 T=morning
  37  ride 11 T=afternoon
  27  ride 11 T=evening
  41  ride 4 T=morning
  37  ride 4 T=afternoon
  28  ride 4 T=evening
  41  ride 10 T=morning
  37  ride 10 T=afternoon
  28  ride 10 T=evening
  42  ride 3 T=morning
  38  ride 3 T=afternoon
  28  ride 3 T=evening
  42  ride 9 T=morning
  38  ride 9 T=afternoon
  28  ride 9 T=evening
  42  ride 2 T=morning
  38  ride 2 T=afternoon
  29  ride 2 T=evening
  42  ride 8 T=morning
  38  ride 8 T=afternoon
  29  ride 8 T=evening
  43  ride 1 T=morning
  39  ride 1 T=afternoon
  29  ride 1 T=evening
------------
Name: Agent 646
Bids:
  54  ride 7 T=morning
  50  ride 7 T=afternoon
  41  ride 7 T=evening
  54  ride 13 T=morning
  50  ride 13 T=afternoon
  41  ride 13 T=evening
  55  ride 6 T=morning
  51  ride 6 T=afternoon
  41  ride 6 T=evening
  55  ride 12 T=morning
  51  ride 12 T=afternoon
  41  ride 12 T=evening
  55  ride 5 T=morning
  52  ride 5 T=afternoon
  42  ride 5 T=evening
  55  ride 11 T=morning
  52  ride 11 T=afternoon
  42  ride 11 T=evening
  56  ride 4 T=morning
  52  ride 4 T=afternoon
  42  ride 4 T=evening
  56  ride 10 T=morning
  52  ride 10 T=afternoon
  42  ride 10 T=evening
  56  ride 3 T=morning
  53  ride 3 T=afternoon
  43  ride 3 T=evening
  56  ride 9 T=morning
  53  ride 9 T=afternoon
  43  ride 9 T=evening
  57  ride 2 T=morning
  53  ride 2 T=afternoon
  43  ride 2 T=evening
  57  ride 8 T=morning
  53  ride 8 T=afternoon
  43  ride 8 T=evening
  57  ride 1 T=morning
  54  ride 1 T=afternoon
  44  ride 1 T=evening
------------
Name: Agent 161
Bids:
  36  ride 7 T=morning
  33  ride 7 T=afternoon
  23  ride 7 T=evening
  36  ride 13 T=morning
  33  ride 13 T=afternoon
  23  ride 13 T=evening
  37  ride 6 T=morning
  33  ride 6 T=afternoon
  23  ride 6 T=evening
  37  ride 12 T=morning
  33  ride 12 T=afternoon
  23  ride 12 T=evening
  38  ride 5 T=morning
  34  ride 5 T=afternoon
  24  ride 5 T=evening
  38  ride 11 T=morning
  34  ride 11 T=afternoon
  24  ride 11 T=evening
  38  ride 4 T=morning
  34  ride 4 T=afternoon
  25  ride 4 T=evening
  38  ride 10 T=morning
  34  ride 10 T=afternoon
  25  ride 10 T=evening
  39  ride 3 T=morning
  35  ride 3 T=afternoon
  25  ride 3 T=evening
  39  ride 9 T=morning
  35  ride 9 T=afternoon
  25  ride 9 T=evening
  39  ride 2 T=morning
  35  ride 2 T=afternoon
  26  ride 2 T=evening
  39  ride 8 T=morning
  35  ride 8 T=afternoon
  26  ride 8 T=evening
  40  ride 1 T=morning
  36  ride 1 T=afternoon
  26  ride 1 T=evening
------------
Name: Agent 242
Bids:
  26  ride 7 T=morning
  22  ride 7 T=afternoon
  12  ride 7 T=evening
  26  ride 13 T=morning
  22  ride 13 T=afternoon
  12  ride 13 T=evening
  26  ride 6 T=morning
  23  ride 6 T=afternoon
  13  ride 6 T=evening
  26  ride 12 T=morning
  23  ride 12 T=afternoon
  13  ride 12 T=evening
  27  ride 5 T=morning
  23  ride 5 T=afternoon
  14  ride 5 T=evening
  27  ride 11 T=morning
  23  ride 11 T=afternoon
  14  ride 11 T=evening
  28  ride 4 T=morning
  24  ride 4 T=afternoon
  14  ride 4 T=evening
  28  ride 10 T=morning
  24  ride 10 T=afternoon
  14  ride 10 T=evening
  28  ride 3 T=morning
  24  ride 3 T=afternoon
  15  ride 3 T=evening
  28  ride 9 T=morning
  24  ride 9 T=afternoon
  15  ride 9 T=evening
  29  ride 2 T=morning
  25  ride 2 T=afternoon
  15  ride 2 T=evening
  29  ride 8 T=morning
  25  ride 8 T=afternoon
  15  ride 8 T=evening
  29  ride 1 T=morning
  25  ride 1 T=afternoon
  16  ride 1 T=evening
------------
Name: Agent 539
Bids:
  47  ride 7 T=morning
  43  ride 7 T=afternoon
  34  ride 7 T=evening
  47  ride 13 T=morning
  43  ride 13 T=afternoon
  34  ride 13 T=evening
  48  ride 6 T=morning
  44  ride 6 T=afternoon
  34  ride 6 T=evening
  48  ride 12 T=morning
  44  ride 12 T=afternoon
  34  ride 12 T=evening
  48  ride 5 T=morning
  44  ride 5 T=afternoon
  35  ride 5 T=evening
  48  ride 11 T=morning
  44  ride 11 T=afternoon
  35  ride 11 T=evening
  49  ride 4 T=morning
  45  ride 4 T=afternoon
  35  ride 4 T=evening
  49  ride 10 T=morning
  45  ride 10 T=afternoon
  35  ride 10 T=evening
  49  ride 3 T=morning
  45  ride 3 T=afternoon
  36  ride 3 T=evening
  49  ride 9 T=morning
  45  ride 9 T=afternoon
  36  ride 9 T=evening
  50  ride 2 T=morning
  46  ride 2 T=afternoon
  36  ride 2 T=evening
  50  ride 8 T=morning
  46  ride 8 T=afternoon
  36  ride 8 T=evening
  50  ride 1 T=morning
  47  ride 1 T=afternoon
  37  ride 1 T=evening
------------
Name: Agent 786
Bids:
  27  ride 7 T=morning
  23  ride 7 T=afternoon
  14  ride 7 T=evening
  27  ride 13 T=morning
  23  ride 13 T=afternoon
  14  ride 13 T=evening
  28  ride 6 T=morning
  24  ride 6 T=afternoon
  14  ride 6 T=evening
  28  ride 12 T=morning
  24  ride 12 T=afternoon
  14  ride 12 T=evening
  28  ride 5 T=morning
  24  ride 5 T=afternoon
  15  ride 5 T=evening
  28  ride 11 T=morning
  24  ride 11 T=afternoon
  15  ride 11 T=evening
  29  ride 4 T=morning
  25  ride 4 T=afternoon
  15  ride 4 T=evening
  29  ride 10 T=morning
  25  ride 10 T=afternoon
  15  ride 10 T=evening
  29  ride 3 T=morning
  26  ride 3 T=afternoon
  16  ride 3 T=evening
  29  ride 9 T=morning
  26  ride 9 T=afternoon
  16  ride 9 T=evening
  30  ride 2 T=morning
  26  ride 2 T=afternoon
  16  ride 2 T=evening
  30  ride 8 T=morning
  26  ride 8 T=afternoon
  16  ride 8 T=evening
  30  ride 1 T=morning
  27  ride 1 T=afternoon
  17  ride 1 T=evening
------------
Name: Agent 568
Bids:
  14  ride 7 T=morning
  11  ride 7 T=afternoon
  1  ride 7 T=evening
  14  ride 13 T=morning
  11  ride 13 T=afternoon
  1  ride 13 T=evening
  15  ride 6 T=morning
  11  ride 6 T=afternoon
  1  ride 6 T=evening
  15  ride 12 T=morning
  11  ride 12 T=afternoon
  1  ride 12 T=evening
  15  ride 5 T=morning
  12  ride 5 T=afternoon
  2  ride 5 T=evening
  15  ride 11 T=morning
  12  ride 11 T=afternoon
  2  ride 11 T=evening
  16  ride 4 T=morning
  12  ride 4 T=afternoon
  3  ride 4 T=evening
  16  ride 10 T=morning
  12  ride 10 T=afternoon
  3  ride 10 T=evening
  17  ride 3 T=morning
  13  ride 3 T=afternoon
  3  ride 3 T=evening
  17  ride 9 T=morning
  13  ride 9 T=afternoon
  3  ride 9 T=evening
  17  ride 2 T=morning
  13  ride 2 T=afternoon
  4  ride 2 T=evening
  17  ride 8 T=morning
  13  ride 8 T=afternoon
  4  ride 8 T=evening
  18  ride 1 T=morning
  14  ride 1 T=afternoon
  4  ride 1 T=evening
------------
Name: Agent 537
Bids:
  21  ride 7 T=morning
  17  ride 7 T=afternoon
  8  ride 7 T=evening
  21  ride 13 T=morning
  17  ride 13 T=afternoon
  8  ride 13 T=evening
  22  ride 6 T=morning
  18  ride 6 T=afternoon
  8  ride 6 T=evening
  22  ride 12 T=morning
  18  ride 12 T=afternoon
  8  ride 12 T=evening
  22  ride 5 T=morning
  18  ride 5 T=afternoon
  9  ride 5 T=evening
  22  ride 11 T=morning
  18  ride 11 T=afternoon
  9  ride 11 T=evening
  23  ride 4 T=morning
  19  ride 4 T=afternoon
  9  ride 4 T=evening
  23  ride 10 T=morning
  19  ride 10 T=afternoon
  9  ride 10 T=evening
  23  ride 3 T=morning
  19  ride 3 T=afternoon
  10  ride 3 T=evening
  23  ride 9 T=morning
  19  ride 9 T=afternoon
  10  ride 9 T=evening
  24  ride 2 T=morning
  20  ride 2 T=afternoon
  10  ride 2 T=evening
  24  ride 8 T=morning
  20  ride 8 T=afternoon
  10  ride 8 T=evening
  24  ride 1 T=morning
  21  ride 1 T=afternoon
  11  ride 1 T=evening
------------
Name: Agent 211
Bids:
  36  ride 7 T=morning
  32  ride 7 T=afternoon
  22  ride 7 T=evening
  36  ride 13 T=morning
  32  ride 13 T=afternoon
  22  ride 13 T=evening
  36  ride 6 T=morning
  33  ride 6 T=afternoon
  23  ride 6 T=evening
  36  ride 12 T=morning
  33  ride 12 T=afternoon
  23  ride 12 T=evening
  37  ride 5 T=morning
  33  ride 5 T=afternoon
  23  ride 5 T=evening
  37  ride 11 T=morning
  33  ride 11 T=afternoon
  23  ride 11 T=evening
  37  ride 4 T=morning
  34  ride 4 T=afternoon
  24  ride 4 T=evening
  37  ride 10 T=morning
  34  ride 10 T=afternoon
  24  ride 10 T=evening
  38  ride 3 T=morning
  34  ride 3 T=afternoon
  25  ride 3 T=evening
  38  ride 9 T=morning
  34  ride 9 T=afternoon
  25  ride 9 T=evening
  39  ride 2 T=morning
  35  ride 2 T=afternoon
  25  ride 2 T=evening
  39  ride 8 T=morning
  35  ride 8 T=afternoon
  25  ride 8 T=evening
  39  ride 1 T=morning
  35  ride 1 T=afternoon
  26  ride 1 T=evening
------------
Name: Agent 535
Bids:
  46  ride 7 T=morning
  42  ride 7 T=afternoon
  32  ride 7 T=evening
  46  ride 13 T=morning
  42  ride 13 T=afternoon
  32  ride 13 T=evening
  47  ride 6 T=morning
  43  ride 6 T=afternoon
  33  ride 6 T=evening
  47  ride 12 T=morning
  43  ride 12 T=afternoon
  33  ride 12 T=evening
  47  ride 5 T=morning
  43  ride 5 T=afternoon
  34  ride 5 T=evening
  47  ride 11 T=morning
  43  ride 11 T=afternoon
  34  ride 11 T=evening
  48  ride 4 T=morning
  44  ride 4 T=afternoon
  34  ride 4 T=evening
  48  ride 10 T=morning
  44  ride 10 T=afternoon
  34  ride 10 T=evening
  48  ride 3 T=morning
  44  ride 3 T=afternoon
  35  ride 3 T=evening
  48  ride 9 T=morning
  44  ride 9 T=afternoon
  35  ride 9 T=evening
  49  ride 2 T=morning
  45  ride 2 T=afternoon
  35  ride 2 T=evening
  49  ride 8 T=morning
  45  ride 8 T=afternoon
  35  ride 8 T=evening
  49  ride 1 T=morning
  46  ride 1 T=afternoon
  36  ride 1 T=evening
------------
Name: Agent 100
Bids:
  22  ride 7 T=morning
  19  ride 7 T=afternoon
  9  ride 7 T=evening
  22  ride 13 T=morning
  19  ride 13 T=afternoon
  9  ride 13 T=evening
  23  ride 6 T=morning
  19  ride 6 T=afternoon
  10  ride 6 T=evening
  23  ride 12 T=morning
  19  ride 12 T=afternoon
  10  ride 12 T=evening
  24  ride 5 T=morning
  20  ride 5 T=afternoon
  10  ride 5 T=evening
  24  ride 11 T=morning
  20  ride 11 T=afternoon
  10  ride 11 T=evening
  24  ride 4 T=morning
  20  ride 4 T=afternoon
  11  ride 4 T=evening
  24  ride 10 T=morning
  20  ride 10 T=afternoon
  11  ride 10 T=evening
  25  ride 3 T=morning
  21  ride 3 T=afternoon
  11  ride 3 T=evening
  25  ride 9 T=morning
  21  ride 9 T=afternoon
  11  ride 9 T=evening
  25  ride 2 T=morning
  21  ride 2 T=afternoon
  12  ride 2 T=evening
  25  ride 8 T=morning
  21  ride 8 T=afternoon
  12  ride 8 T=evening
  26  ride 1 T=morning
  22  ride 1 T=afternoon
  12  ride 1 T=evening
------------
Name: Agent 703
Bids:
  10  ride 7 T=morning
  6  ride 7 T=afternoon
  1  ride 7 T=evening
  10  ride 13 T=morning
  6  ride 13 T=afternoon
  1  ride 13 T=evening
  10  ride 6 T=morning
  7  ride 6 T=afternoon
  1  ride 6 T=evening
  10  ride 12 T=morning
  7  ride 12 T=afternoon
  1  ride 12 T=evening
  11  ride 5 T=morning
  7  ride 5 T=afternoon
  1  ride 5 T=evening
  11  ride 11 T=morning
  7  ride 11 T=afternoon
  1  ride 11 T=evening
  12  ride 4 T=morning
  8  ride 4 T=afternoon
  1  ride 4 T=evening
  12  ride 10 T=morning
  8  ride 10 T=afternoon
  1  ride 10 T=evening
  12  ride 3 T=morning
  8  ride 3 T=afternoon
  1  ride 3 T=evening
  12  ride 9 T=morning
  8  ride 9 T=afternoon
  1  ride 9 T=evening
  13  ride 2 T=morning
  9  ride 2 T=afternoon
  1  ride 2 T=evening
  13  ride 8 T=morning
  9  ride 8 T=afternoon
  1  ride 8 T=evening
  13  ride 1 T=morning
  9  ride 1 T=afternoon
  1  ride 1 T=evening
------------
Name: Agent 356
Bids:
  26  ride 7 T=morning
  22  ride 7 T=afternoon
  12  ride 7 T=evening
  26  ride 13 T=morning
  22  ride 13 T=afternoon
  12  ride 13 T=evening
  26  ride 6 T=morning
  22  ride 6 T=afternoon
  13  ride 6 T=evening
  26  ride 12 T=morning
  22  ride 12 T=afternoon
  13  ride 12 T=evening
  27  ride 5 T=morning
  23  ride 5 T=afternoon
  13  ride 5 T=evening
  27  ride 11 T=morning
  23  ride 11 T=afternoon
  13  ride 11 T=evening
  27  ride 4 T=morning
  24  ride 4 T=afternoon
  14  ride 4 T=evening
  27  ride 10 T=morning
  24  ride 10 T=afternoon
  14  ride 10 T=evening
  28  ride 3 T=morning
  24  ride 3 T=afternoon
  14  ride 3 T=evening
  28  ride 9 T=morning
  24  ride 9 T=afternoon
  14  ride 9 T=evening
  28  ride 2 T=morning
  25  ride 2 T=afternoon
  15  ride 2 T=evening
  28  ride 8 T=morning
  25  ride 8 T=afternoon
  15  ride 8 T=evening
  29  ride 1 T=morning
  25  ride 1 T=afternoon
  15  ride 1 T=evening
------------
Name: Agent 261
Bids:
  20  ride 7 T=morning
  16  ride 7 T=afternoon
  6  ride 7 T=evening
  20  ride 13 T=morning
  16  ride 13 T=afternoon
  6  ride 13 T=evening
  20  ride 6 T=morning
  17  ride 6 T=afternoon
  7  ride 6 T=evening
  20  ride 12 T=morning
  17  ride 12 T=afternoon
  7  ride 12 T=evening
  21  ride 5 T=morning
  17  ride 5 T=afternoon
  7  ride 5 T=evening
  21  ride 11 T=morning
  17  ride 11 T=afternoon
  7  ride 11 T=evening
  21  ride 4 T=morning
  18  ride 4 T=afternoon
  8  ride 4 T=evening
  21  ride 10 T=morning
  18  ride 10 T=afternoon
  8  ride 10 T=evening
  22  ride 3 T=morning
  18  ride 3 T=afternoon
  8  ride 3 T=evening
  22  ride 9 T=morning
  18  ride 9 T=afternoon
  8  ride 9 T=evening
  22  ride 2 T=morning
  19  ride 2 T=afternoon
  9  ride 2 T=evening
  22  ride 8 T=morning
  19  ride 8 T=afternoon
  9  ride 8 T=evening
  23  ride 1 T=morning
  19  ride 1 T=afternoon
  10  ride 1 T=evening
------------
Name: Agent 444
Bids:
  28  ride 7 T=morning
  24  ride 7 T=afternoon
  15  ride 7 T=evening
  28  ride 13 T=morning
  24  ride 13 T=afternoon
  15  ride 13 T=evening
  29  ride 6 T=morning
  25  ride 6 T=afternoon
  15  ride 6 T=evening
  29  ride 12 T=morning
  25  ride 12 T=afternoon
  15  ride 12 T=evening
  29  ride 5 T=morning
  26  ride 5 T=afternoon
  16  ride 5 T=evening
  29  ride 11 T=morning
  26  ride 11 T=afternoon
  16  ride 11 T=evening
  30  ride 4 T=morning
  26  ride 4 T=afternoon
  16  ride 4 T=evening
  30  ride 10 T=morning
  26  ride 10 T=afternoon
  16  ride 10 T=evening
  30  ride 3 T=morning
  27  ride 3 T=afternoon
  17  ride 3 T=evening
  30  ride 9 T=morning
  27  ride 9 T=afternoon
  17  ride 9 T=evening
  31  ride 2 T=morning
  27  ride 2 T=afternoon
  17  ride 2 T=evening
  31  ride 8 T=morning
  27  ride 8 T=afternoon
  17  ride 8 T=evening
  32  ride 1 T=morning
  28  ride 1 T=afternoon
  18  ride 1 T=evening
------------
Name: Agent 219
Bids:
  47  ride 7 T=morning
  43  ride 7 T=afternoon
  33  ride 7 T=evening
  47  ride 13 T=morning
  43  ride 13 T=afternoon
  33  ride 13 T=evening
  47  ride 6 T=morning
  43  ride 6 T=afternoon
  34  ride 6 T=evening
  47  ride 12 T=morning
  43  ride 12 T=afternoon
  34  ride 12 T=evening
  48  ride 5 T=morning
  44  ride 5 T=afternoon
  34  ride 5 T=evening
  48  ride 11 T=morning
  44  ride 11 T=afternoon
  34  ride 11 T=evening
  48  ride 4 T=morning
  44  ride 4 T=afternoon
  35  ride 4 T=evening
  48  ride 10 T=morning
  44  ride 10 T=afternoon
  35  ride 10 T=evening
  49  ride 3 T=morning
  45  ride 3 T=afternoon
  35  ride 3 T=evening
  49  ride 9 T=morning
  45  ride 9 T=afternoon
  35  ride 9 T=evening
  49  ride 2 T=morning
  46  ride 2 T=afternoon
  36  ride 2 T=evening
  49  ride 8 T=morning
  46  ride 8 T=afternoon
  36  ride 8 T=evening
  50  ride 1 T=morning
  46  ride 1 T=afternoon
  36  ride 1 T=evening
------------
Name: Agent 694
Bids:
  53  ride 7 T=morning
  50  ride 7 T=afternoon
  40  ride 7 T=evening
  53  ride 13 T=morning
  50  ride 13 T=afternoon
  40  ride 13 T=evening
  54  ride 6 T=morning
  50  ride 6 T=afternoon
  40  ride 6 T=evening
  54  ride 12 T=morning
  50  ride 12 T=afternoon
  40  ride 12 T=evening
  54  ride 5 T=morning
  51  ride 5 T=afternoon
  41  ride 5 T=evening
  54  ride 11 T=morning
  51  ride 11 T=afternoon
  41  ride 11 T=evening
  55  ride 4 T=morning
  51  ride 4 T=afternoon
  42  ride 4 T=evening
  55  ride 10 T=morning
  51  ride 10 T=afternoon
  42  ride 10 T=evening
  56  ride 3 T=morning
  52  ride 3 T=afternoon
  42  ride 3 T=evening
  56  ride 9 T=morning
  52  ride 9 T=afternoon
  42  ride 9 T=evening
  56  ride 2 T=morning
  52  ride 2 T=afternoon
  43  ride 2 T=evening
  56  ride 8 T=morning
  52  ride 8 T=afternoon
  43  ride 8 T=evening
  57  ride 1 T=morning
  53  ride 1 T=afternoon
  43  ride 1 T=evening
------------
Name: Agent 732
Bids:
  53  ride 7 T=morning
  49  ride 7 T=afternoon
  39  ride 7 T=evening
  53  ride 13 T=morning
  49  ride 13 T=afternoon
  39  ride 13 T=evening
  53  ride 6 T=morning
  50  ride 6 T=afternoon
  40  ride 6 T=evening
  53  ride 12 T=morning
  50  ride 12 T=afternoon
  40  ride 12 T=evening
  54  ride 5 T=morning
  50  ride 5 T=afternoon
  40  ride 5 T=evening
  54  ride 11 T=morning
  50  ride 11 T=afternoon
  40  ride 11 T=evening
  54  ride 4 T=morning
  51  ride 4 T=afternoon
  41  ride 4 T=evening
  54  ride 10 T=morning
  51  ride 10 T=afternoon
  41  ride 10 T=evening
  55  ride 3 T=morning
  51  ride 3 T=afternoon
  41  ride 3 T=evening
  55  ride 9 T=morning
  51  ride 9 T=afternoon
  41  ride 9 T=evening
  55  ride 2 T=morning
  52  ride 2 T=afternoon
  42  ride 2 T=evening
  55  ride 8 T=morning
  52  ride 8 T=afternoon
  42  ride 8 T=evening
  56  ride 1 T=morning
  52  ride 1 T=afternoon
  43  ride 1 T=evening
------------
Name: Agent 497
Bids:
  18  ride 7 T=morning
  15  ride 7 T=afternoon
  5  ride 7 T=evening
  18  ride 13 T=morning
  15  ride 13 T=afternoon
  5  ride 13 T=evening
  19  ride 6 T=morning
  15  ride 6 T=afternoon
  5  ride 6 T=evening
  19  ride 12 T=morning
  15  ride 12 T=afternoon
  5  ride 12 T=evening
  19  ride 5 T=morning
  16  ride 5 T=afternoon
  6  ride 5 T=evening
  19  ride 11 T=morning
  16  ride 11 T=afternoon
  6  ride 11 T=evening
  20  ride 4 T=morning
  16  ride 4 T=afternoon
  6  ride 4 T=evening
  20  ride 10 T=morning
  16  ride 10 T=afternoon
  6  ride 10 T=evening
  20  ride 3 T=morning
  17  ride 3 T=afternoon
  7  ride 3 T=evening
  20  ride 9 T=morning
  17  ride 9 T=afternoon
